prob,mean,std,median,perc05,perc25,perc75,perc95
0,0.00825407385609427,0.00190885406143771,0.00791841004184332,0.0054838350530094,0.0069579831932771,0.00965833333333433,0.0115493931325408
0.025,0.00821853962873103,0.00211788560712133,0.00810813450899382,0.00536792061505408,0.00690756302521035,0.00924663528591241,0.0108899724517898
0.05,0.00806742983051579,0.00167426604961477,0.0079441664632663,0.00520666344847382,0.00683891213388801,0.00924597649264766,0.0104956585850978
0.075,0.00847439353900518,0.00199004220344091,0.00803975840336269,0.00565729814774794,0.00698105697975147,0.00981692390493066,0.012570190329222
0.1,0.00867638671088549,0.00270317567575201,0.00836503851540621,0.0052123954087126,0.00679608050847411,0.00988381742738945,0.0137803143479602
0.125,0.0181766418407325,0.0769658580004136,0.00848887075491079,0.0054905747044592,0.00688211360493817,0.00975084366391301,0.0151211107393793
0.15,0.0274774577849697,0.100712075416852,0.00785774058577234,0.00583379234856631,0.00679106045485579,0.00954566115702325,0.0122864860728467
0.175,0.0606708268831051,0.164774883141188,0.00879879399458982,0.00579963455325525,0.00708357067510602,0.0105534979423856,0.61514545454544
0.2,0.0693120451553661,0.161048162909724,0.00899178697575179,0.00543870950439218,0.00687447698744925,0.0121322314049587,0.532856170212766
0.225,0.0964341713676683,0.19364072282295,0.00880004861195422,0.0055763269864882,0.00762525263269915,0.0130054147181865,0.587733333333367
0.25,0.135045283685103,0.220063876470009,0.00972637741046817,0.00544475988700896,0.00710062937308862,0.249011478678802,0.661771428571434
