prob,mean,std,median,perc05,perc25,perc75,perc95
0,-2.49290554703499,0.00413427290357483,-2.49307977619344,-2.49985044394572,-2.4951004339403,-2.49005604933093,-2.48586444262018
0,-2.49290554703499,0.00413427290357483,-2.49307977619344,-2.49985044394572,-2.4951004339403,-2.49005604933093,-2.48586444262018
0.0075,-2.4868431557614,0.167561064875767,-2.48319405391672,-2.72781049727438,-2.61799201768238,-2.35847555237879,-2.22530863904085
0.015,-2.56823109247093,0.724778441733842,-2.62703149876154,-3.32490781457873,-2.92785367710718,-2.37583183953972,-1.7047939198243
0.0225,-2.53184702482603,1.00651180434431,-2.58068242573837,-3.91526383609758,-3.00369700935429,-2.17497507377232,-1.0322140291969
0.03,-3.11433623665619,8.13573644585245,-2.64192996180639,-4.74279489573694,-3.40702138444836,-2.00218685652841,0.989463948472902
0.0375,-0.926878837813776,12.9432307368029,-2.44184232015898,-8.12801159670359,-3.31340871410381,-1.88509220950325,3.79005110290722
0.045,0.138721194707308,17.1273050515789,-2.3203206174004,-5.67385356138387,-3.64664557304182,-1.89635498337571,2.14068951794259
0.0525,-2.1237686962591,26.1573568930291,-2.30660025384969,-14.6196703977834,-3.57746832469044,-1.72195754994765,14.971125882833
0.06,-1.98760030874583,17.2530169403011,-2.18009456592222,-6.12928658805947,-3.35184393084921,-1.78266609190455,-0.170896604558997
0.0675,-0.574823478582993,25.4177565474655,-2.26048314546471,-15.0680549976137,-3.09141378372673,-1.7265022222869,47.45605236115
0.075,0.0835169470420652,25.0698758762265,-2.10398839394703,-14.6197289887692,-3.45701585594502,-1.66281656310664,42.661437541484
