prob,mean,std,median,perc05,perc25,perc75,perc95
0,2.76936388859552,0.0034805744048014,2.76918251675199,2.76386387860336,2.76695380216159,2.77132836870674,2.77616536752463
0,2.76936388859552,0.0034805744048014,2.76918251675199,2.76386387860336,2.76695380216159,2.77132836870674,2.77616536752463
0.0075,2.76543510078477,0.0657161527530007,2.7724366647436,2.65676171237191,2.71414859163458,2.80401282503047,2.86345865282142
0.015,2.83508555352047,0.446426713616329,2.78869756158781,2.58864989188536,2.69037654197497,2.84360550707113,3.07292875654309
0.0225,4.76090519936132,11.770133386146,2.80217816008457,2.29465097907331,2.66681822394216,2.97015558883917,7.24790553580833
0.03,6.2255347015081,15.7295380146087,2.94047858850878,2.24697456866345,2.68961300292878,3.68666407105247,8.23671388712111
0.0375,9.05353277697626,20.0543506936548,3.20955706217057,2.22257759773617,2.69974803231369,5.46940877763515,59.5872632337912
0.045,8.44304763470003,16.6547309266911,3.20447516864582,2.18007742268333,2.52020439794524,5.852188303181,45.9720787379255
0.0525,13.1788539479584,27.509507274251,3.61078700862715,2.10964497459458,2.59542470808229,6.22613320468097,98.7703738965874
0.06,16.741297408013,33.094599568539,3.51341902837092,1.98456385514723,2.53445273998195,6.63249915382085,108.241927916272
0.0675,11.3798153224454,24.8307869272781,3.03652604979144,1.79957700000002,2.31178926783779,5.78190524611024,89.0743972494841
0.075,17.4781023260484,35.2352125153015,4.20712894258609,1.78958671116317,2.76517125589514,6.99150194642194,111.812512239728
