prob,mean,std,median,perc05,perc25,perc75,perc95
0,2.76936388859552,0.0034805744048014,2.76918251675199,2.76386387860336,2.76695380216159,2.77132836870674,2.77616536752463
0.025,2.76859258912588,0.0473843095093001,2.76797605782216,2.69568159401779,2.730713887303,2.80349302516989,2.84901951303979
0.05,2.78263439302117,0.0968855797425593,2.76926585897266,2.64005183185482,2.70801364645757,2.84841970464784,2.96332405460199
0.075,2.77230361647709,0.130125328958669,2.75080550373842,2.58051400206176,2.67070912452588,2.87154257630172,2.99895409623848
0.1,2.82371426766142,0.232946555093861,2.76332472695596,2.54812312381559,2.6708626812343,2.95468447675945,3.31340643378677
0.125,2.84668556558156,0.269426081580631,2.78711414687282,2.51545500237882,2.64256853802011,2.98852230345144,3.41234376470117
0.15,3.03411123813992,0.683774217241763,2.81887668932501,2.46932142025863,2.6614705545895,3.17857627694392,4.13055796394273
0.175,3.28084033759555,1.02799905079279,2.94496882396971,2.47633685500721,2.69258255077521,3.44006481567637,4.83099583253449
0.2,3.50750403810991,1.33154840669902,3.124255338988,2.47294178309833,2.71661565884904,3.97341302962357,6.03232935299552
0.225,3.58232629613809,1.27515520700795,3.10105856881314,2.46797537727104,2.74631005147379,4.12245820768235,5.72354397530114
0.25,4.31600936458727,5.14437352417015,3.18337981819023,2.34182452660606,2.64367807490535,3.97208605595265,8.78333290914728
