time,value
0,-1.5009924423098
0.0999999999999996,-1.50101012975004
0.103499999999999,-1.45682427882845
0.1227,-1.39958096788522
0.1329,-1.36285678090074
0.1416,-1.32046386773085
0.1482,-1.2728902951433
0.153,-1.21819788867607
0.1565,-1.15112946611344
0.1607,-0.953778560973272
0.1634,-0.146123310812185
0.1662,4.52177640473368
0.1731,0.414652321796542
0.175,-3.55917767436761
0.1777,-1.99371440437239
0.1834,-0.404182748776827
0.1857,4.02776443720144
0.1915,0.351314456909744
0.1933,-3.56342731748928
0.196099999999999,-1.98241447794331
0.202,-0.419947139073055
0.2046,3.99417422607117
0.210199999999999,0.309043002754781
0.212,-3.56861122280918
0.2148,-1.9817554819435
0.221,-0.428615414688061
0.2235,4.02804700577196
0.2292,0.369796965225868
0.231,-3.57242500609041
0.234,-1.94860906609536
0.2405,-0.431277520394563
0.243,4.03767342059822
0.248699999999999,0.428441498642384
0.250599999999999,-3.58039976129099
0.2537,-1.92111493177156
0.2606,-0.457597972253538
0.2632,4.04320634740976
0.269,0.342428042415377
0.270799999999999,-3.58650280038998
0.274,-1.91441923074877
0.2816,-0.471238298899963
0.2842,4.05950911970285
0.2901,0.359470804742747
0.2919,-3.59236088765983
0.2954,-1.85830187643268
0.3025,-0.888064907731616
0.304,-0.457406053586398
0.3067,4.07128784676819
0.3126,0.361316002032911
0.3144,-3.59951848896377
0.3184,-1.76854613138818
0.321099999999999,-1.38284004648998
0.3273,-0.887303435568283
0.329,-0.494764667782676
0.3318,4.10533000055531
0.3378,0.444520309807348
0.3397,-3.60848671397582
0.344,-1.73868096506077
0.3477,-1.3442633081987
0.3502,-1.23717778397427
0.353,-1.1958058539888
0.3549,-1.20797536214356
0.3568,-1.2500024389683
0.3693,-1.66222932905993
0.3796,-1.85358425292842
0.3862,-1.92222821863018
0.393899999999999,-1.96811299018879
0.4031,-1.99391604665474
0.4086,-2.00034937490059
0.4148,-2.00260052743016
0.4262,-1.99821992633521
0.4412,-1.98368654709349
0.449999999999999,-1.97215606367399
