time,gsm
-1.08199999999999,-2.67774041573435
0.581999999999994,-2.67617227966165
0.591000000000008,-2.66098513927262
2.26400000000001,-2.65947847202197
2.274,-2.67466620879939
3.947,-2.67310243996561
3.95600000000002,-2.68839548952574
5.62900000000002,-2.68677441790072
5.63800000000003,-2.70197542742645
7.31299999999999,-2.7002956748489
7.32299999999998,-2.71550008673532
8.995,-2.71376692130103
9.005,-2.72899081873453
10.681,-2.72719710774676
10.691,-2.71195226227461
12.352,-2.71024517737803
12.362,-2.72557326046468
14.014,-2.72381926746845
14.024,-2.73903412400614
15.696,-2.73720279161378
15.706,-2.72174748472656
17.3960000000001,-2.71996936062825
17.4060000000001,-2.70462088379658
19.091,-2.7029200034068
19.101,-2.68736589611432
20.763,-2.68575973001012
