time,angle
-0.112999999999943,-1.38615779432885
1.351,-1.36268137642292
2.81399999999996,-1.32608096237398
4.28499999999997,-1.35416538091444
5.75,-1.28432617438392
7.20799999999997,-1.35359685105787
8.673,-1.33296540796364
10.1320000000001,-1.36178037280527
11.614,-1.3897097797433
13.08,-1.26846829319237
14.522,-1.18379629213843
15.963,-1.19673778037835
17.412,-1.25956514086874
18.8680000000001,-1.25535189505063
20.3050000000001,-1.23244782450813
-0.857999999999947,1.39254508315003
0.620000000000005,1.33273368511333
2.07900000000006,1.34072905587496
3.548,1.35832776667596
5.01800000000003,1.3092356771163
6.47900000000004,1.33416717155383
7.94000000000005,1.32265979541769
9.39999999999998,1.31841077369487
10.8680000000001,1.43511461409227
12.354,1.30902287524777
13.807,1.2415379041162
15.24,1.18407913667857
16.687,1.23497982981112
18.145,1.23456185898811
19.591,1.25561312052964
21.02,1.16432388414395
