time,gsyn
-1.91700000000003,-2.35558505000956
1.42399999999998,-2.35262739511262
1.42899999999997,-2.34516289887653
1.43299999999999,-2.35163608904859
3.10599999999999,-2.35016844253837
3.11099999999999,-2.34426145232979
3.11599999999999,-2.3520587224802
4.78600000000006,-2.35059194142038
4.79100000000005,-2.34310904931897
4.79600000000005,-2.3494962436721
6.47300000000007,-2.34803404801313
6.476,-2.3443800564717
6.48199999999997,-2.35473792274959
8.15200000000004,-2.35325997935481
8.15600000000006,-2.3466502037982
8.16100000000006,-2.35532090219689
9.83799999999997,-2.35383433777597
9.84699999999998,-2.36914679167195
11.5170000000001,-2.36760881665712
11.527,-2.38286325391337
13.184,-2.38128052345115
13.187,-2.37726161041997
13.193,-2.38735434502071
14.854,-2.38574919118709
14.8580000000001,-2.38005620948927
14.864,-2.38926595273999
16.544,-2.38763446434955
16.5450000000001,-2.38649130474682
16.553,-2.3989462952334
18.246,-2.39726132346184
18.256,-2.41254523650134
19.928,-2.41082439656144
19.932,-2.40457529171475
19.937,-2.41275877817791
21.605,-2.41104478094766
