prob,mean,std,median,perc05,perc25,perc75,perc95
0,2.7699620054856,0.00384509937609473,2.76983607603441,2.76515285743919,2.76734312517098,2.77269957401394,2.77497873383309
0.05,2.82398709416597,0.00863732277389906,2.82362334579222,2.81521216439169,2.81911043025821,2.82998361195845,2.83503431918081
0.1,2.88623057572903,0.0131840085616136,2.88702716117299,2.86880370948977,2.87750763354244,2.89458341797413,2.902302507863
0.15,2.96253156604614,0.0178265045577794,2.96081491167744,2.9405885005241,2.95009126459294,2.97204078412643,2.98979227283264
0.2,3.05038980771353,0.0226313523966148,3.04925318336522,3.01882622484075,3.03650940143399,3.06665871015931,3.07999937678686
0.25,3.15502872098841,0.0275467376363138,3.15340030150433,3.12258961705589,3.13468378941822,3.17585850399362,3.19341354806613
0.3,3.28117438528793,0.0327908688280381,3.28553298773317,3.23688843336585,3.25750927207379,3.30155465270893,3.32170317758056
0.35,3.42590147787722,0.0352574055430427,3.42701110072792,3.37580245418444,3.40266872166822,3.45018556838451,3.47146331631674
0.4,3.63559869540724,0.0581260543681605,3.63558264898608,3.56251988139273,3.59532381825692,3.6724086321452,3.71174901745578
0.45,3.8589174450326,0.0657531929201044,3.85973338094869,3.7814148175469,3.81994800749501,3.89422043292346,3.94903458884561
0.5,3.8153263940472,0.0689984869765966,3.81612503136112,3.73041079917715,3.76623439200924,3.85882962940952,3.89241125407076
0.55,3.71117667565735,0.0773976748536301,3.70780792086659,3.61197781895733,3.66126937282296,3.762964558392,3.80948963456795
0.6,3.57799951690313,0.0890961237830961,3.59106499774607,3.46554425015928,3.50703388445836,3.63757497225485,3.68609557988082
0.65,3.43095784993134,0.0761570413765004,3.42816951170516,3.3377600700446,3.37515361753015,3.47928998394436,3.53261793506663
0.7,3.24538150653719,0.0778317764833261,3.24970225352289,3.14626913811672,3.18660398575065,3.29972733323719,3.34513175691839
0.75,3.04695871711769,0.0706689110324426,3.04882365226957,2.95331441099452,2.99737447364255,3.091546327296,3.13436602735524
