prob,val
0,-2.49496739540306
0,-2.50072255197266
0,-2.4905724548816
0,-2.48785028312698
0,-2.49650200169758
0,-2.49628439195498
0,-2.49226423612347
0,-2.48172298251276
0,-2.49243929169558
0,-2.49824859140026
0,-2.50165700525781
0,-2.49031428743795
0,-2.48491977162366
0,-2.49610185115765
0,-2.50316220338227
0,-2.49481005327944
0,-2.49235550530958
0,-2.4930444328235
0,-2.49455369657065
0,-2.4950113030443
0,-2.49760201057519
0,-2.49147474700835
0,-2.49853221525002
0,-2.50022688506228
0,-2.48793089911611
0,-2.4840965908049
0,-2.50199466470297
0,-2.49538508603497
0,-2.48996646947898
0,-2.49207796769505
0,-2.4860908005172
0,-2.48990245685463
0,-2.50080215138663
0,-2.50173818259329
0,-2.4928819576406
0,-2.49256276829328
0,-2.49953597009722
0,-2.48763742016196
0,-2.49155083827959
0,-2.50134175702852
0,-2.49652890990994
0,-2.48873595074897
0,-2.49176515647673
0,-2.489551743095
0,-2.49337425189748
0,-2.50008428357214
0,-2.49623883635839
0,-2.49211634633516
0,-2.49052458370647
0,-2.49425593132838
0,-2.49626361338859
0,-2.49775574717705
0,-2.49284246872301
0,-2.49428111201649
0,-2.49820282692361
0,-2.49812643837521
0,-2.49081657189333
0,-2.49826321428144
0,-2.4912304532134
0,-2.50009240369289
0,-2.49498642568579
0,-2.49395465982949
0,-2.49391126925301
0,-2.48849214672753
0,-2.48825093579757
0,-2.49062765690162
0,-2.49227272399509
0,-2.49229516110233
0,-2.49351733615454
0,-2.49591269036368
0,-2.49016104494935
0,-2.4822390743625
0.05,-2.47759065672727
0.05,-2.48043992290843
0.05,-2.48338930229593
0.05,-2.49909055753479
0.05,-2.48478982884583
0.05,-2.50690251909705
0.05,-2.50420441024895
0.05,-2.51307747085651
0.05,-2.49524628303511
0.05,-2.49116961235551
0.05,-2.49731134519618
0.05,-2.47006388006735
0.05,-2.48818547387286
0.05,-2.50313922704839
0.05,-2.49067344984793
0.05,-2.49991776960093
0.05,-2.49773100426073
0.05,-2.50325831470187
0.05,-2.49462829370992
0.05,-2.49315334764144
0.05,-2.49951750290676
0.05,-2.49251017462114
0.05,-2.47734494146857
0.05,-2.49376958308299
0.05,-2.49027498153849
0.05,-2.48017054968765
0.05,-2.48895573970081
0.05,-2.50946932143916
0.05,-2.50202632989763
0.05,-2.50051602275913
0.05,-2.49266636222105
0.05,-2.50574052185505
0.05,-2.47963894649898
0.05,-2.49706979113006
0.05,-2.50083336837105
0.05,-2.51059128134029
0.05,-2.4945042943802
0.05,-2.50719658265234
0.05,-2.4854173630765
0.05,-2.48232761903392
0.05,-2.49326554095749
0.05,-2.48409448757106
0.05,-2.51220912710423
0.05,-2.47571723080891
0.05,-2.49985346635882
0.05,-2.48798684554578
0.05,-2.48564656358241
0.05,-2.48573688169055
0.05,-2.49477418128507
0.05,-2.50407320829911
0.05,-2.49254764622141
0.05,-2.48511008893489
0.05,-2.48466827400498
0.05,-2.50139601443737
0.05,-2.48587402400812
0.05,-2.49228626501784
0.05,-2.50494595118142
0.05,-2.49995574356774
0.05,-2.48550687951593
0.05,-2.48278100072796
0.05,-2.47684614502124
0.05,-2.50243719999952
0.05,-2.49696630382205
0.05,-2.49309297798483
0.05,-2.50487612227994
0.05,-2.48966297367499
0.05,-2.48169035236545
0.05,-2.48765064926412
0.05,-2.50674695470875
0.05,-2.49352613904059
0.05,-2.49202113081155
0.05,-2.47690715898356
0.1,-2.50647066053769
0.1,-2.48586117822052
0.1,-2.50529999462785
0.1,-2.46468310383351
0.1,-2.51546261055979
0.1,-2.50835635289888
0.1,-2.46908465936719
0.1,-2.49456089601496
0.1,-2.49239319085109
0.1,-2.51450558806987
0.1,-2.52675922400212
0.1,-2.47053807432279
0.1,-2.48653910303769
0.1,-2.51558994673714
0.1,-2.46222533849525
0.1,-2.50354143318642
0.1,-2.48567790707146
0.1,-2.48599060760085
0.1,-2.51265105290731
0.1,-2.50222943149569
0.1,-2.48800609484985
0.1,-2.48146163694683
0.1,-2.50051652968626
0.1,-2.51995967756518
0.1,-2.46822574238477
0.1,-2.50728537177821
0.1,-2.48918157828651
0.1,-2.49704203309912
0.1,-2.51765053176714
0.1,-2.49324148895875
0.1,-2.52218838092931
0.1,-2.50340673207437
0.1,-2.4949304751607
0.1,-2.47903342979612
0.1,-2.49138173492282
0.1,-2.49785853327918
0.1,-2.47859372152721
0.1,-2.51226047295817
0.1,-2.49266640978268
0.1,-2.48745643938997
0.1,-2.47331120460362
0.1,-2.43649554889535
0.1,-2.49771985227388
0.1,-2.48494903524372
0.1,-2.51599517778565
0.1,-2.51319108737854
0.1,-2.51721662533372
0.1,-2.4999571732495
0.1,-2.49474276042241
0.1,-2.51613744884252
0.1,-2.51539145600178
0.1,-2.49268302095883
0.1,-2.50157961852888
0.1,-2.49428723462554
0.1,-2.51560062426977
0.1,-2.49596551713
0.1,-2.49552960470701
0.1,-2.52594903328045
0.1,-2.4856162630508
0.1,-2.47009257975785
0.1,-2.52743968667675
0.1,-2.51896646662239
0.1,-2.49809584858116
0.1,-2.52104218784333
0.1,-2.45390013204792
0.1,-2.48205160832007
0.1,-2.49186787017897
0.1,-2.48791438495301
0.1,-2.49040650586934
0.1,-2.49488189519068
0.1,-2.42869481297977
0.1,-2.49593118623655
0.15,-2.54666325729333
0.15,-2.50531573810805
0.15,-2.46507262010966
0.15,-2.49613496379561
0.15,-2.46572950769899
0.15,-2.44941471099753
0.15,-2.5134707640527
0.15,-2.51083197108829
0.15,-2.49014325534096
0.15,-2.50847721821993
0.15,-2.50865515107707
0.15,-2.52498301576474
0.15,-2.5339959641881
0.15,-2.50226395982035
0.15,-2.4656512876732
0.15,-2.48381812323989
0.15,-2.47995712367114
0.15,-2.51059140609673
0.15,-2.46979571053418
0.15,-2.47152015161172
0.15,-2.46347971474796
0.15,-2.52560249727478
0.15,-2.53368249494155
0.15,-2.47616055387775
0.15,-2.51394154812491
0.15,-2.52948862736349
0.15,-2.47659051436056
0.15,-2.50971648120984
0.15,-2.51068890713077
0.15,-2.50392096436631
0.15,-2.46958692978817
0.15,-2.51053420746613
0.15,-2.47277129144957
0.15,-2.49112048513374
0.15,-2.51679411960262
0.15,-2.53959602261451
0.15,-2.48342187265099
0.15,-2.49834097063273
0.15,-2.49992288569926
0.15,-2.47775233085493
0.15,-2.49269947751419
0.15,-2.50008831828661
0.15,-2.48936196878074
0.15,-2.45639474272586
0.15,-2.50914170283322
0.15,-2.4919640930608
0.15,-2.55276077072813
0.15,-2.50765197271532
0.15,-2.467850722513
0.15,-2.46384693717133
0.15,-2.48746188696526
0.15,-2.45764635065602
0.15,-2.49012716285728
0.15,-2.49817696841855
0.15,-2.5037412773929
0.15,-2.48214813459308
0.15,-2.50502108788118
0.15,-2.50890109801778
0.15,-2.49378562132983
0.15,-2.5192201932955
0.15,-2.51776733272753
0.15,-2.51300656790257
0.15,-2.51229838228587
0.15,-2.48391774019129
0.15,-2.50317723759269
0.15,-2.5046518325738
0.15,-2.48391449414219
0.15,-2.49347178949163
0.15,-2.4763648172512
0.15,-2.51865240944142
0.15,-2.46379953072396
0.15,-2.52213024780501
0.2,-2.49647405288194
0.2,-2.47970629710837
0.2,-2.48642305161162
0.2,-2.45915358419568
0.2,-2.49749514713774
0.2,-2.51840522279625
0.2,-2.47401524743656
0.2,-2.49928984190471
0.2,-2.49907531149179
0.2,-2.49351032340859
0.2,-2.50954111872116
0.2,-2.51230373648622
0.2,-2.48671810875662
0.2,-2.50073373172276
0.2,-2.4953613719437
0.2,-2.50458024000062
0.2,-2.51615653431919
0.2,-2.46903819193253
0.2,-2.5034407145871
0.2,-2.4796525273304
0.2,-2.48398488128616
0.2,-2.49597291218334
0.2,-2.44168829194733
0.2,-2.50409995800414
0.2,-2.45894270125028
0.2,-2.4715273958943
0.2,-2.44768529118014
0.2,-2.47712911717668
0.2,-2.54028098188183
0.2,-2.51670155296824
0.2,-2.47950415834879
0.2,-2.4812674792594
0.2,-2.47843579216613
0.2,-2.53833368408895
0.2,-2.49954287426092
0.2,-2.54972720781391
0.2,-2.51678479879215
0.2,-2.47786105386667
0.2,-2.470682999924
0.2,-2.49094172950073
0.2,-2.51091205461001
0.2,-2.47000613897646
0.2,-2.47624040439875
0.2,-2.53722976735584
0.2,-2.53954625471656
0.2,-2.53819143212369
0.2,-2.48052713101203
0.2,-2.45925363590472
0.2,-2.46667102881859
0.2,-2.49826373509375
0.2,-2.49389113709934
0.2,-2.49119617837219
0.2,-2.49136686813611
0.2,-2.51460123844329
