time,gsm
-0.245999999999981,-2.63235765178811
1.42399999999998,-2.63097295123244
1.43299999999999,-2.64627469489416
3.10599999999999,-2.64482942558508
3.11000000000001,-2.64571796452328
3.11599999999999,-2.65523392806816
4.78600000000006,-2.65375391815984
4.79600000000005,-2.66907231814071
6.47300000000007,-2.66752822159862
6.48199999999997,-2.68277057906365
8.15200000000004,-2.68117584330899
8.16100000000006,-2.66607493488677
9.83799999999997,-2.66454337856634
9.84699999999998,-2.64922920995566
13.184,-2.64632788439791
13.193,-2.66156877590591
14.854,-2.66007047463694
14.864,-2.67543536506741
16.544,-2.67386184332661
16.553,-2.65859879153359
19.928,-2.65558584313363
19.938,-2.67084046942167
21.605,-2.6692982077542
