time,gsm
-0.805999999999926,-3.08216651080841
0.843000000000075,-3.07894866687523
0.851999999999975,-3.09415694374257
4.10000000000002,-3.08773450007619
4.10900000000004,-3.10299305400611
7.44000000000005,-3.09633389526111
7.44900000000007,-3.11149328375721
9.13300000000004,-3.10808407861549
9.14300000000003,-3.0927583651814
10.812,-3.08945747234604
10.822,-3.10480724554395
12.466,-3.10150627609034
12.475,-3.11670976191715
17.489,-3.1065362015565
17.499,-3.12178780435115
20.736,-3.11516432329171
