time,gsyn
-1.08199999999999,-2.37466833859558
0.581999999999994,-2.37311295581784
0.591000000000008,-2.35796122398523
2.26400000000001,-2.35646717784722
2.26900000000001,-2.34875813077943
2.274,-2.35632918904534
3.947,-2.35484195462889
3.95000000000005,-2.34976238475404
3.95600000000002,-2.35937054337112
5.62900000000002,-2.35787061505986
5.63200000000006,-2.35341205163444
5.63800000000003,-2.36334970221394
7.31299999999999,-2.36183250808695
7.31700000000001,-2.35569098803605
7.32299999999998,-2.36435582747551
8.995,-2.36283599884932
8.99900000000002,-2.35808040057477
9.005,-2.367854259032
10.681,-2.36631617430491
10.691,-2.38153918531896
12.352,-2.37995812887047
12.362,-2.39529835145949
14.014,-2.39366913598876
14.02,-2.38394326000095
14.024,-2.38803374654894
15.696,-2.38641515079394
15.7,-2.38180678382214
15.706,-2.39148267549135
17.3960000000001,-2.38983215046266
17.4060000000001,-2.40518509862021
19.091,-2.40348184647463
19.101,-2.41906206755833
20.763,-2.41732447709101
