prob,mean,std,median,perc05,perc25,perc75,perc95
0.2,-2.16910421529125,0.0637269184017936,-2.15624995406495,-2.19192230855756,-2.15798247662487,-2.15404581676961,-2.15118257084787
0.4,-2.47313276012358,0.00355388891080564,-2.47252615654197,-2.47973148899873,-2.47421194041668,-2.47100848763693,-2.46929795266518
0.6,-2.48414221050883,0.00337208256111619,-2.48399891628956,-2.48984904700305,-2.48646689526993,-2.48189880403762,-2.47837710435733
0.8,-2.48729948094957,0.00252943763127488,-2.48696605339949,-2.49065594484797,-2.48958515516802,-2.48554351879206,-2.48297405595711
1,-2.48993328709607,0.00404622772127885,-2.48957466454707,-2.4968114411815,-2.49265924540639,-2.48627037408066,-2.48439831889677
1.2,-2.49052340869497,0.00376384366830471,-2.4903982882546,-2.49659868466348,-2.49319967040491,-2.48867691724674,-2.48437625487751
1.4,-2.49094904155946,0.00535978387144566,-2.49157232997495,-2.49871605304908,-2.49383702302448,-2.4871835882937,-2.48179160805569
1.6,-2.49228775765612,0.00414661358392214,-2.49216427159794,-2.50207625072696,-2.49432038155117,-2.49000923541054,-2.48634088016681
1.8,-2.49269993377598,0.00400780369849179,-2.49216769644085,-2.49939520160396,-2.49518772929493,-2.48990578612309,-2.48527799834882
2,-2.49277321118127,0.00362708389935315,-2.49319471256658,-2.4995523217394,-2.49513343465927,-2.49064707447506,-2.48598216745316
2.2,-2.49354537790575,0.00488196699632556,-2.49320352463166,-2.50300736025748,-2.49599623577478,-2.49082499207753,-2.48483890326009
2.4,-2.49398908287928,0.00534049398787015,-2.49496310102754,-2.50145854173972,-2.4980593239764,-2.48930942573733,-2.48473369439306
2.6,-2.49497894840249,0.0058404323987398,-2.49557687384327,-2.50403279722324,-2.49847398981887,-2.49101186431852,-2.48550587155532
2.8,-2.49511592317121,0.00555828799439138,-2.49454798602109,-2.50517365850295,-2.49889481249901,-2.49183885556276,-2.48501405988337
3,-2.49485953717581,0.00537612863409847,-2.49469101133765,-2.50418051782886,-2.49836579005705,-2.49187558089158,-2.48627864145724
3.2,-2.49544911216565,0.00640422845794373,-2.49717595065265,-2.50625044446637,-2.49932052525949,-2.49055084200385,-2.48424731818082
3.4,-2.49550373803343,0.0060183918370816,-2.49595714188184,-2.50513625969013,-2.49900383210434,-2.49052025494729,-2.4858279016131
3.6,-2.49606025284689,0.00584671035795918,-2.49563135692516,-2.50486591994963,-2.50041504088125,-2.4926003617194,-2.48572505464554
3.8,-2.48257041591756,0.0680496739735655,-2.49638298286742,-2.50901936088469,-2.50022106947708,-2.49036105432084,-2.45003481183452
